State,Waterbody,Count,NAS Infested?,Manual Override?
MT,Flathead Lake,7,FALSE,
CA,Cresent City Pacific Ocean,6,FALSE,
CA,Puddingstone Lake,2,FALSE,
CA,Ruth Lake,7,FALSE,
GA,Lake Oconee,3,FALSE,
UT,East Canyon Reservoir,6,FALSE,
CA,Loon Lake,3,FALSE,
CA,Lake Calero,18,FALSE,
UT,Flaming Gorge,5,TRUE,
UT,Willard Bay,12,FALSE,
CA,Lake Lopez,1,FALSE,
CA,Little Grass Valley reservoir,5,FALSE,
ID,Lake Pend Oreille,3,FALSE,
CO,Bear Lake,1,FALSE,
NV,dear creek,1,FALSE,
CA,icehouse reservoir,5,FALSE,
CA,Bear Resevoir,6,FALSE,
CA,Cachuma Lake,3,FALSE,
UT,Bear Lake,7,FALSE,
NM,Caballo Reservoir,1,FALSE,
OR,Coos Bay,1,TRUE,
UT,East Park Reservoir,1,FALSE,
OR,Lake Shasta,4,TRUE,Y
WA,Alder Lake,4,FALSE,
WA,Hood Canal,4,FALSE,
OR,HAGG LAKE,4,FALSE,
CA,Burney Falls Reservoir,1,FALSE,
WA,Riffe Lake,2,FALSE,
NC,Lake Jocassee,1,FALSE,
CA,Gold Lake,10,FALSE,
WA,Lake Stevens,3,FALSE,
UT,Mirror Lake,1,FALSE,
MD,Deep Creek Lake,2,FALSE,
CA,Irvine Lake,1,TRUE,
OR,East Lake,1,FALSE,
NV,Lake Mohave,2,TRUE,
OR,Simtustus Lake,1,FALSE,
CA,Klamath River,2,TRUE,
NV,Wilson Reservoir,1,FALSE,
NV,Truckee River,2,TRUE,
BC,Pacific Ocean,3,FALSE,
CA,Huntington Lake,6,FALSE,
OR,Lost Creek Lake,7,FALSE,
CA,Arrowhead Lake,9,FALSE,
CA,lake arrowhead,4,FALSE,
NV,Frenchman Lake,11,FALSE,
AZ,Lake Mojave,7,TRUE,Y
ID,Coeur dAlene River,1,FALSE,
AL,Gulf of Mexico,1,FALSE,
ND,Fresh Lake,1,FALSE,
BC,winter harbor,1,FALSE,
ID,Palisades Reservoir,1,FALSE,
NH,State of New Hampshire,1,FALSE,
WA,Lake Merwin,5,FALSE,
ND,Antelope Lake,1,FALSE,
OR,Antelope Reservoir,1,FALSE,
CA,Spicer Meadow Reservoir,2,FALSE,
CA,Thermalito Forebay,5,FALSE,
CA,Oroville Lake,16,FALSE,
WA,Mayfield Lake,1,FALSE,
AL,State of Alabama,1,FALSE,
OR,Cultus Lake,3,FALSE,
WA,Lake Sammamish,2,FALSE,
MA,Atlantic Ocean,2,FALSE,
CA,Thermalito Afterbay,3,FALSE,
AZ,Watson Lake,1,FALSE,
CA,los alamitos pacific ocean,1,FALSE,
TX,Eagle Mountain Lake,1,TRUE,
CA,San Pable Reservoir,2,FALSE,
CA,Kaweah Lake,9,FALSE,
CA,Britton Lake,2,FALSE,
WA,Bellingham Bay,1,FALSE,
CA,Foster City Lagoon,1,FALSE,
UT,San Juan River,2,FALSE,
CA,Castaic Lagoon,2,TRUE,
MN,Mississippi River,1,TRUE,
CA,Stevens Creek Reservoir,1,FALSE,
CA,Pillsburry Lake,1,FALSE,
UT,Washington Lake,1,FALSE,
NV,stste of nevada,1,FALSE,
BC,Okanagan Lake,4,FALSE,
CA,Martinez Lake,1,FALSE,
CA,lake chalan,1,FALSE,
VA,Chesapeake Bay,1,FALSE,
CO,Glacier Lake,1,FALSE,
ID,Lake Payette,7,FALSE,
ID,Spokane River,2,FALSE,
OR,Immigrant Lake,2,FALSE,
OR,Emigrant Lake,5,FALSE,
CA,San Joaquin River,2,TRUE,
ID,Cascade Lake,3,FALSE,
OR,Crane Prairie Reservoir,1,FALSE,
OR,Prineville Reservoir,3,FALSE,
CA,Baker Lake,1,FALSE,
WI,Lake Geneva,1,TRUE,
CA,Black Butte Lake,1,FALSE,
WY,Snake River,1,TRUE,
WA,Chelan River,1,FALSE,
WA,Osoyoos Lake,2,FALSE,
OR,Applegate Lake,2,FALSE,
CA,Lake Cumberland,1,FALSE,
AZ,Canyon Lake,4,TRUE,
ID,Boise River,2,TRUE,
CA,Redinger Lake,1,FALSE,
CO,Standley Lake,1,FALSE,
CA,Lake Kaweah,8,FALSE,
MI,Lake Superior,1,TRUE,
OK,Grand Lake O the Cherokees,1,FALSE,
CA,Stevens Creek,2,TRUE,
CA,lake matoma,1,FALSE,
SC,Atlantic Ocean,1,FALSE,
WA,Willamette River,1,FALSE,
OR,Lake of the Woods,4,FALSE,
OR,Fern Ridge Lake,3,FALSE,
CO,Stagecoach Reservoir,2,FALSE,
CA,Lake Evans,1,FALSE,
CA,San Pablo Reservoir,5,FALSE,
CA,Isabella Lake,14,FALSE,
IA,Lake McBride,1,FALSE,
WA,Cornet Bay,1,FALSE,
CA,Berney Falls,1,FALSE,
CA,Sabrina Lake,1,FALSE,
OR,Elk Lake,1,FALSE,
MN,Lake Minnetonka,3,TRUE,
CA,Petaluma River,4,FALSE,
OR,Silver Creek Reservoir,2,FALSE,
CA,Spaulding Lake,6,FALSE,
NV,folsom,1,FALSE,
CA,Manzanita Lake,2,FALSE,
CA,Humboldt Bay,1,FALSE,
CO,Horse Tooth Reservoir,1,FALSE,
WA,Swift Reservoir,3,FALSE,
AK,Yukon River,1,FALSE,
DE,Brandywine River,1,FALSE,
CA,Alameda Creek,1,TRUE,
WI,State of Wisconsin,2,FALSE,
FL,Rainbow River,1,FALSE,
CT,State of Connecticut,1,FALSE,
CA,lochlomd reservior,1,FALSE,
CA,Natoma Lake,2,FALSE,
CA,Clear Creek,2,TRUE,
OK,Grand Lake,2,TRUE,
BC,Spokane Lake,1,FALSE,
UT,Pine Valley Reservoir,2,FALSE,
GA,Atlantic Ocean,1,FALSE,
WY,Jackson Lake,2,TRUE,
WA,Lake McDonald,1,FALSE,
GA,Lake Lanier,3,FALSE,
WY,Leigh Lake,1,FALSE,
ID,Oneida Narrows Reservoir,1,FALSE,
ID,Arrowrock Reservoir,1,FALSE,
CA,Laughlin River,3,FALSE,
CO,Twin Lakes,1,FALSE,
ID,Island Park Reservoir,1,FALSE,
OK,tin lake,1,FALSE,
AB,Maligne Lake,2,FALSE,
IL,Lake Springfield,1,FALSE,
UT,State of Utah,4,FALSE,
MN,Lake Minnewaska,1,TRUE,
CA,san diego river,1,FALSE,
CA,Bodega Bay (Pacific Ocean),46,FALSE,
CA,Frenchman Lake,58,FALSE,
NV,Topaz Lake,119,FALSE,
CA,Donner Lake,333,FALSE,
CA,None,2477,FALSE,
NV,Lake Tahoe,204,TRUE,Y
CA,Blue Lake,11,FALSE,
CA,Caples Lake,38,FALSE,
CA,San Luis Obispo Bay (Pacific Ocean),4,FALSE,
NV,None,1,FALSE,
NV,Walker Lake,1,FALSE,
WA,Brand New,44,FALSE,
NV,Pyramid Lake,172,FALSE,
CA,Lake topaz,60,FALSE,
CA,Lake McClure,20,FALSE,
CA,Del Valle Lake,4,FALSE,
CA,Folsom Lake,1179,FALSE,
CA,Petaluma River,4,FALSE,
CA,Lake Tahoe,989,TRUE,
CA,San Joaquin delta,16,TRUE,
CA,OCEAN half moon bay,27,FALSE,
CA,Stampede Reservoir,242,FALSE,
CA,Mallard Reservoir,1,FALSE,
CA,sacramento river,33,TRUE,
CA,Topaz Lake,49,FALSE,
CA,San Francisco Bay (Pacific Ocean),212,FALSE,
CA,San Luis Reservoir,8,FALSE,
CA,Thermalito Afterbay,3,FALSE,
FL,Atlantic Ocean,5,FALSE,
CA,Lake Berryessa,391,FALSE,
CA,Millerton Lake,60,FALSE,
CA,Lake Orovill,59,FALSE,
GA,Lake Lanier,3,FALSE,
CA,Long Beach (Pacific Ocean),59,FALSE,
MN,Lake Minnetonka,3,TRUE,
CA,Lake Milton,1,FALSE,
